                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3515,                 2.4166,                 1.5726,                0.63468,                0.31061,                0.30352,                 0.1593,                 1.6213,                 2.8109,                 2.1553,             0.00047243,             0.00047243,             0.00047243
                      2,                 1.4564,                 2.1553,                 1.6646,                 0.3167,                0.30304,                0.25759,                0.12225,                 1.8723,                 3.1145,                 2.2919,             0.00093937,             0.00093937,             0.00093937
                      3,                 1.4961,                 2.0734,                 1.6923,                0.41888,                0.29172,                0.26676,                0.13133,                 1.8716,                 2.9885,                 2.2622,              0.0013969,              0.0013969,              0.0013969
                      4,                 1.5014,                 2.0036,                  1.703,                 0.4019,                0.33683,                0.29967,                0.15006,                 1.6619,                 2.6645,                 2.1275,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.4387,                 1.8559,                 1.6529,                0.50681,                0.37389,                0.37438,                0.20456,                 1.6423,                 2.1496,                 2.0594,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.4752,                 1.8365,                 1.6935,                0.54024,                0.38469,                0.41289,                0.22079,                 1.6389,                 2.1954,                 2.0141,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.4155,                 1.7992,                 1.6456,                 0.4833,                 0.3926,                0.38832,                0.20623,                 1.6935,                 2.0652,                 2.0736,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.3949,                 1.7105,                 1.6289,                0.71044,                0.33831,                0.39411,                0.21814,                 1.6109,                 2.1248,                 1.9849,              0.0013441,              0.0013441,              0.0013441
                      9,                  1.351,                 1.6465,                  1.596,                0.54632,                0.35691,                0.38452,                0.21849,                 1.5888,                 2.0475,                 1.9949,                0.00133,                0.00133,                0.00133
                     10,                 1.3576,                 1.6066,                  1.586,                0.76541,                 0.4205,                0.47542,                0.28668,                 1.4593,                 1.7894,                 1.8193,              0.0013158,              0.0013158,              0.0013158
